job_title,industry,location,type,minimum_job_year,needed,company_name,Requirements,
Bukit Vista Business Data Scientist Residency - Cycle 2,Tech Staffing and Recruiting,Yogyakarta,Intern,0,5,Dicoding Jobs Talent Acquisition Services,"We are seeking candidates who have completed the Dicoding classes in Basic Data Science, Data Analysis with Python, and Applied Data Science within the Data Scientist learning path. A bonus will be given to those who have also completed the Basic Data Visualization class. Candidates must meet one of the following prerequisites: graduates from Dicoding who are either undergraduate students yet to complete their studies or graduates who did not pursue further education (diploma, bachelor's, etc.) and have up to one year of professional experience in a similar role to this job posting. The candidate must be ready to work according to company regulations for a period of three months, with working hours from 8:00 AM to 5:00 PM WIB.",
Bukit Vista Business Analyst Residency - Cycle 2,Tech Staffing and Recruiting,Yogyakarta,Intern,0,5,Dicoding Jobs Talent Acquisition Services,"We are seeking candidates who have completed the Dicoding classes in Basic Data Science, Data Analysis with Python, and Applied Data Science within the Data Scientist learning path. A bonus will be given to those who have also completed the Basic Data Visualization class. Candidates must meet one of the following prerequisites: graduates from Dicoding who are either undergraduate students yet to complete their studies or graduates who did not pursue further education (diploma, bachelor's, etc.) and have up to one year of professional experience in a similar role to this job posting. The candidate must be ready to work according to company regulations for a period of three months, with working hours from 8:00 AM to 5:00 PM WIB.",
Software Quality Assurance,Software Development,Yogyakarta,Intern,0,5,Zettabyte Pte Ltd,"We are looking for a candidate who is fluent in English, both oral and written, and has a strong willingness to learn and grow in the field of Quality Assurance. The ideal candidate should be familiar with creating and maintaining checklists, test plans, test cases, and test suites. A basic understanding of bug life cycle management and experience in bug reporting is required. Familiarity with basic programming or scripting concepts is advantageous, and an understanding of HTML, CSS, and JavaScript is a plus. The candidate should love logic in general, be self-motivated, and have keen attention to detail. The candidate must be available to work in Jogja.",
Internship Finance,Perdagangan,Surabaya,Intern,0,1,CV Riz Plakat Jaya,"We are seeking a female candidate, with a maximum age of 26 years, who has at least graduated from a vocational high school (SMK), diploma (D3), or bachelor's (S1) program in Accounting or a related field. Fresh graduates are welcome to apply. Candidates residing in Surabaya and Sidoarjo are preferred. The ideal candidate should understand basic taxation principles, including VAT (PPN) and Income Tax (PPh), and should have experience operating financial applications.",
Business Development Specialist,Freelancers,Jakarta Selatan,Full-time,1,5,PT. Sribu Digital Kreatif,"We are seeking a dynamic candidate with a minimum D3 education level and 1-3 years of experience in B2B selling, particularly in outbound sales. The ideal candidate will be highly motivated, possessing excellent communication skills and a proven ability to meet revenue targets. A strong focus on achieving work results is essential, with a track record of delivering on revenue goals. Additionally, experience in the start-up or agency environment would be advantageous, showcasing adaptability and a proactive approach to sales in various business contexts.",
Quality Assurance,Banking,Jakarta Selatan,Full-time,1,2,PT Bank Neo Commerce Tbk,"We seek a candidate holding at least a Bachelor's Degree in Information Technology, System Information, or Computer Science, combined with a minimum of 2 years' experience in software quality assurance. The ideal applicant should demonstrate proficiency in crafting clear and comprehensive test plans, cases, and scripts, with a strong emphasis on defect management and mobile app testing. Essential skills include coordination, monitoring, and reporting, alongside a solid command of Databases and SQL Queries. Prior exposure to the banking or payment services sector, familiarity with SDLC, and hands-on experience in agile development processes are advantageous. Fluency in English is mandatory, with communication skills in Mandarin considered beneficial. The ability to manage time effectively, think critically, solve problems, and thrive under pressure and tight deadlines is paramount. Additional expertise in API automation would be highly beneficial.",
Web Developer,Banking,Jakarta Selatan,Full-time,4,2,PT Bank Neo Commerce Tbk,"We're looking for a candidate with a Bachelor's degree in IT, Information Systems, or Computer Science, with a focus on Banking, Multifinance, or Insurance industries. They should have over 3 years of hands-on experience in Web Development. Proficiency in web technologies like ReactJS, NodeJS, JavaScript, CSS, and HTML is essential. Additionally, experience in deploying web-based applications to servers is required.",
Test Engineer,Banking,Jakarta Selatan,Full-time,1,1,PT Bank Neo Commerce Tbk,"The ideal candidate should possess at least a Bachelor's Degree in Information Technology, System Information, or Computer Science and have a minimum of 2 years' experience in software quality assurance. They should be adept at writing clear, concise test plans, cases, and scripts, as well as managing defects efficiently. Experience in mobile app testing and API automation testing, preferably with the ability to build frameworks from scratch, is crucial. Additionally, a solid understanding of databases and SQL queries is necessary. Knowledge of the banking or payment services domain, along with familiarity with SDLC and agile development processes, is highly beneficial. While UI automation skills and Mandarin proficiency are desirable, strong communication skills in English, excellent time management, critical thinking, and problem-solving abilities are essential. The candidate should also demonstrate the capability to work under pressure and meet tight deadlines.",
IT Infra Network Engineer,Banking,Jakarta Selatan,Full-time,1,1,PT Bank Neo Commerce Tbk,"For the position in Communication Technology, Computer Science, Computer Engineering, or Telecommunications, candidates should have a degree in one of these fields and ideally 1-2 years of experience in a related role. Strong analytical and problem-solving skills are essential, particularly in troubleshooting network issues and devising effective solutions. Knowledge of network technology, including maintenance practices, backup link configurations, network availability management, and network capacity monitoring, is crucial for ensuring smooth operations and minimizing downtime.",
Back End Devloper,Banking,Jakarta Selatan,Full-time,1,9,PT Bank Neo Commerce Tbk,"The ideal candidate for this role should be pursuing or have completed at least an undergraduate degree in Computer Science, Information Systems, or have graduated from a reputable Bootcamp Company. They should possess a strong foundation in programming and database management. A minimum of 2 years of practical experience with microservices architecture in a Finance or Banking Company is required to demonstrate familiarity with industry-specific challenges and practices.  Additionally, the candidate should have a good understanding of unit testing and its implementation within the development process. Effective communication skills in both Indonesian and English, including excellent writing, listening, and speaking abilities, are crucial for collaborating with diverse teams and stakeholders effectively.",
IT Governance Staff,Banking,Jakarta Selatan,Full-time,1,1,PT Bank Neo Commerce Tbk,"The ideal candidate should hold a Bachelor's Degree in Computer Science and possess 3-5 years of experience in IT Governance within the Financial Institution or Banking Industry. They must have a solid understanding of computer software, networking, and hardware, coupled with knowledge of regulatory requirements related to IT, including international standards such as COBIT, ITIL, ISO 27001, CISM, NIST, and CIS. Additionally, familiarity with IT Audit engagements, particularly in IT General Controls (ITGC) and Application Control assessments, is necessary. A strong grasp of Information Security and Cyber Security matters is essential, along with proficiency in the Software Development Life Cycle (SDLC) process and due diligence practices, to ensure effective management of IT governance responsibilities.",
Cybersecurity Engineer,Software Development,Jakarta Pusat,Full-time,4,1,Worlder Team Pte Ltd,"The ideal candidate for the Cybersecurity Engineer role should be CISSP certified with proven experience in AWS security. They should have a deep understanding of AWS services like EC2, S3, Lambda, IAM, VPC, KMS, CloudWatch, and CloudTrail, coupled with strong knowledge of cloud security principles, best practices, and standards. Experience in designing secure architectures on AWS, performing security audits on non-cloud applications, and addressing database and application vulnerabilities is necessary. Familiarity with compliance frameworks such as GDPR, HIPAA, and SOC 2, along with hands-on experience in security tools like AWS Security Hub, GuardDuty, and WAF, is important. Excellent communication and collaboration skills are required to convey complex security concepts effectively, and additional certifications like CISM, CEH, or CompTIA Security+ are advantageous.",
Sales Executive,Telekomunikasi,Jakarta Barat,Contract,1,1,PT.Communication Cable Systems Indonesia Tbk,"The candidate should have a Diploma or Bachelor's degree from a reputable university, along with a minimum of 1 year of experience in a similar position. Excellent communication skills in English and proficiency in MS-Office and MS-Project are essential. They should be computer literate and willing to travel with good health. Being dynamic, highly motivated, and possessing high determination with good assertiveness skills are key attributes. Preference will be given to candidates with Technical Sales experience, particularly in selling industrial engineering-oriented products.",
Devsecops,Layanan dan Teknologi Informasi,Jakarta Pusat,Full-time,1,1,PT. Kulego Tiga Kreasi,"We are looking for a Security Specialist with a minimum of two years of experience in cloud security or related security applications, particularly in penetration testing to identify vulnerabilities within applications. The ideal candidate will have a strong ability to perform security risk analysis and collaborate effectively with teams. Excellent communication skills are a must, with the ability to influence and drive security strategies. This position requires a willingness to work in a Work From Office (WFO) setup. Join our team and contribute to maintaining a secure digital environment!",
Customer Service,Service,Jakarta Utara,Full-time,1,2,PT RLOGIC TECHNOLOGY INDONESIA,"We're looking for someone who can monitor daily cases of open repair units, communicate updates effectively with customers, coordinate deliveries with Call centers and 3PL, ensure timely resolution of customer issues, maintain quality service standards, and provide support to customer service officers. The ideal candidate will possess strong communication, multitasking, and organizational skills, along with a background in customer service or related fields.",
Android Developer,Teknologi,Jakarta Selatan,Contract,1,1,KODE APLIKASI INDONESIA,"Bachelor's degree or equivalent in Computer Science or related fields is required, along with a minimum of 2 years of software engineering experience and at least 2 years of experience as an Android Developer with a minimum of 2 published apps in the Play Store. Proficiency in Kotlin, building complex UI/UX, Git and Git Working Flow, working with REST APIs, and implementing Firebase tools such as Push Notification, Crashlytics, and Analytics is essential. Experience with MVVM, Clean Architecture, and Repository Pattern, a strong understanding of Algorithm and Data Structure, Object-Oriented Programming (OOP), SOLID principles, reusable and efficient programming, as well as a good grasp of Reactive Programming are also required. Additional experience working in a consulting IT company is considered an added value.",
Social Media Specialist,Service,Jakarta Utara,Full-time,1,1,PT RLOGIC TECHNOLOGY INDONESIA,"We are seeking a candidate who embodies a self-starting attitude, exceptional multitasking capabilities, and strong organizational skills. The ideal candidate will bring experience across all facets of social media, including platforms such as Facebook, Instagram, YouTube, TikTok, Digital Ad-based channels, Web, and E-commerce, coupled with a deep understanding of social media management tools and familiarity with web design. Diligence, intelligence, high initiative, and creative problem-solving skills are paramount, allowing for innovative thinking and the ability to optimize content strategically to achieve tangible results. Effective brand awareness establishment, coupled with excellent communication skills (both verbal and written) and a natural flair for interpersonal interactions, particularly in English, are essential. Proficiency in analytics and reporting is expected, along with a minimum of 1 to 2 years of relevant work experience, although fresh graduates with a passion for social media marketing are encouraged to apply. Ideally, the candidate would be based in the PIK area or North Jakarta, contributing to a seamless integration into the local business environment.",
IT Business Analyst,Software Industry,Bandung,Full-time,1,1,PT Flexi Dev Indonesia,"We require a candidate with at least a bachelor's degree, preferably in IT or Engineering. They should have a minimum of 3 years of experience as a business analyst within software development, with a technical background in dealing with software projects. Adequate IT knowledge is essential to engage with developers professionally, along with familiarity with databases and an understanding of backend, frontend, and other software development roles. The candidate must excel in interpreting business problems and devising IT solutions, possessing excellent people skills and a grasp of the software engineering process. They should be proficient in translating business requirements into technical specifications, utilizing analysis and modelling tools effectively. Being a quick learner is crucial, as the role involves mastering new systems regularly with minimal supervision. Strong written and oral communication skills, including technical writing, are necessary, with fluency in English. The candidate should be adept at working in teams with minimal oversight and have experience in web and mobile application product development, as well as familiarity with agile development methodologies like Scrum or Kanban. A keen eye for UI/UX design is also desired.",
IT System Analyst,Konsultan IT,Bandar Lampung,Full-time,1,1,Newus technology,"Kami mencari kandidat dengan latar belakang pendidikan S1 Teknik Informatika atau Ilmu Komputer, yang memiliki minimal 1 tahun pengalaman dalam bidang IT atau sebagai Programmer. Kandidat harus bersedia bekerja di lokasi (on-site), berjenis kelamin laki-laki, dan siap untuk dinas luar kota sesuai kebutuhan perusahaan.",
Area Sales Manager,Makanan,Jakarta Pusat,Full-time,4,1,PT Multi Star Rukun Abadi (Sharon Bakery),"Kami mencari kandidat lulusan Sarjana dari berbagai jurusan, dengan minimal 5 tahun pengalaman sebagai Area Sales Manager di bidang penjualan retail atau consumer goods. Kandidat harus memiliki keterampilan komunikasi yang sangat baik baik secara lisan maupun tulisan, serta memiliki keterampilan presentasi dan koordinasi yang memungkinkan berkomunikasi dengan baik dengan tim internal dan eksternal. Pengalaman dalam menjelajahi dan mempertahankan pangsa pasar tradisional dan modern sangat diinginkan. Kemampuan cekatan dan kerja sama dalam tim diperlukan, sementara keterampilan interpersonal, motivasi tinggi, kemandirian, semangat, dan keuletan juga diharapkan. Kandidat harus memiliki SIM A dan C, serta bersedia melakukan perjalanan dinas ke luar kota sesuai kebutuhan perusahaan.",
IT Project Manager,IT & Solution,Jakarta Pusat,Full-time,1,1,PT Kognitif Skema Indonesia,"We're looking for candidates with a minimum education level of S1 or equivalent in computer science or a related field, who have at least 3 years of experience in implementation projects and a solid understanding of SDLC Project. Proficiency in using MS Office tools such as Word, Excel, Power Point, as well as Project Tools for planning & monitoring, and JIRA is essential. The ideal candidate should have the ability to establish effective communication, with preference given to English proficiency, with both internal and external parties. They should also demonstrate the ability to work collaboratively in a team and independently when needed. Additionally, candidates should be willing to work on-site as required by the position.",
Backend Web Developer,Teknologi,Jakarta Selatan,Contract,1,1,KODE APLIKASI INDONESIA,"We're seeking candidates with a minimum of 2 years of professional experience and a track record of completing at least 4 professional projects. You should have hands-on experience with Golang, Node.js, PHP, and .NET. Additional experience with Java or Python would be a definite plus.",
Frontend Web Developer,Teknologi,Jakarta Selatan,Contract,1,1,KODE APLIKASI INDONESIA,"We're looking for candidates with a minimum Bachelor's Degree in Information Technology, Computer Science, Multimedia, or Design Communication Visual. You should have at least 2 years of experience as a frontend web developer or in a similar role, along with proficiency in developing web applications using the latest HTML, CSS, and JavaScript versions. Familiarity with tools like SASS, npm, composer, gulp, etc., and experience with versioning tools like GitLab are required. Candidates should be adept at using responsive web design frameworks and have hands-on experience with ReactJS. Strong communication skills and a friendly demeanor are also essential for this role.",
Internship Android Developer,Teknologi,Jakarta Selatan,Intern,0,3,KODE APLIKASI INDONESIA,"Kami mencari alumni, mahasiswa, atau siswa SMK yang aktif dan berkelakuan baik, dengan minat belajar dan berkembang yang tinggi serta suka membaca buku. Kandidat harus bersedia mengikuti proses magang selama minimal 3 bulan dan maksimal 1 tahun, serta siap menanggung biaya akomodasi atau perjalanan sendiri. Kandidat harus memiliki attitude dan passion yang kuat di bidang rekayasa perangkat lunak, dengan keingintahuan besar, kemauan untuk berkembang, dan kemampuan pembelajaran yang cepat. Mereka akan melewati serangkaian tes yang dirancang oleh NBS, termasuk tes tertulis algoritma, OOP (Object Oriented Programming), dan struktur data dasar; tes untuk membuat program sederhana pada platform yang dikuasai; serta wawancara tes secara online. Untuk kandidat laki-laki, kemampuan bermain FIFA/PES/Clash Royale/Mobile Legends diwajibkan.",
IT Development,"Manufaktur peralatan rumah tangga, pealatan listrik dan elektronik.",Jakarta Barat,Full-time,1,1,PT Berdikari Inti Gemilang,,
Senior Electronic Engineer - Balikpapan,Telecommunications & Internet Service Providers,Balikpapan,Full-time,1,1,PT SatNetCom Balikpapan,"We are seeking a candidate with strong leadership and management skills, coupled with a robust analytical acumen. The ideal candidate should have expertise in electronics system research, design, and manufacturing, complemented by a solid understanding of TCP/IP, networking, computer and network hardware, and software. Proficiency in operating measurement devices like oscilloscopes and spectrum analyzers is crucial, as is the ability to design electronics circuits using simulation software. Familiarity with C++ or Python is preferred, alongside experience in working with microcontroller systems such as Arduino, Raspberry Pi, or other embedded systems. The candidate should demonstrate a willingness to learn new technologies, possess strong analytical problem-solving abilities for both technical and non-technical challenges, and exhibit excellent communication skills in English, both verbal and written.",
Sales Software ,Konsultan IT,Bandar Lampung,Full-time,1,1,Newus technology,"Kami mencari kandidat yang memiliki pengalaman minimal 2 tahun sebagai Sales, dengan preferensi di sektor B2B, serta kemampuan negosiasi dan komunikasi yang baik. Kandidat diharapkan memiliki SIM A/C, pengalaman dengan database klien menjadi nilai tambah, dan diutamakan berdomisili di Lampung.",
Software Engineer - Balikpapan,Telecommunications & Internet Service Providers,Balikpapan,Full-time,4,1,PT SatNetCom Balikpapan,"The ideal candidate should have excellent written, reading, and speaking skills in English, along with proficiency in C# and Android application development, including a strong understanding of their ecosystems. Familiarity with the .NET and Android frameworks, object-oriented programming concepts, and writing reusable C# libraries is essential. They should also understand Multi-threading methods, various design and architectural patterns, and have experience with Microsoft SQL Server and Windows Presentation Framework. A knack for writing clean, readable C# and Android code, understanding scalable application design principles, creating database schemas, and implementing automated testing platforms are all key requirements. Additionally, proficiency in code versioning tools, familiarity with continuous integration, and a basic understanding of Common Language Runtime (CLR) and its implications are desired qualifications for this role.",
Network Specialist - Balikpapan,Telecommunications & Internet Service Providers,Balikpapan,Full-time,4,1,PT SatNetCom Balikpapan,"The ideal candidate for this position should be a male maximum of 34 years old, a graduate from a reputable D3/S1 university. Experience with the Unix/Linux platform is highly preferred, including familiarity with Unix scripting language fundamentals. They should have experience in installing, configuring, and maintaining SMTP servers, POP3 servers, DNS servers, proxy servers, and web servers under Unix/Linux. A good understanding of TCP/IP, LAN, WAN, network security, VoIP, SIP, BGP routing, NMS, and voice platforms is highly desired. Demonstrated knowledge of Cisco LAN/WAN/security products, Network Sniffer, Bandwidth Manager, Cisco VoIP platform, Cisco WLAN, and Link Load Balancer is also preferred. The candidate should have at least 3-5 years of experience in administering, installing, configuring, supporting, and designing mixed LAN/WAN environments, switches, routers, firewalls, and related devices. Effective interpersonal and communication skills are a must, along with the ability to work well under pressure, multitask, and meet deadlines. Analytical and team management skills are also important, and the candidate should be willing to work on a night shift schedule.",
Fullstack Developer,Telecommunications & Internet Service Providers,Bandar Lampung,Full-time,1,1,PT SatNetCom Balikpapan,"Kandidat ideal harus memiliki pengalaman minimal 2 tahun dan pemahaman mendalam tentang TypeScript, React.js, dan PHP. Mereka juga diharapkan memiliki kemampuan yang kuat dalam problem-solving dan bug fixing. Penempatan untuk posisi ini adalah di Bandar Lampung.",
WordPress Developer,Konsultan IT,Bandar Lampung,Full-time,1,1,Newus technology,"Kami mencari kandidat yang memiliki gelar sarjana di bidang Ilmu Komputer, Teknik Informatika, atau bidang terkait. Kandidat ideal harus memiliki minimal 1 tahun pengalaman dalam membangun dan memelihara situs web WordPress, serta pengetahuan dasar tentang PHP, MySQL, dan HTML/CSS. Pengalaman dengan plugin dan tema WordPress yang populer serta pengetahuan tentang praktik terbaik SEO juga diharapkan. Selain itu, kandidat harus memiliki kemampuan pemecahan masalah yang baik dan keterampilan komunikasi yang efektif, serta kemampuan untuk bekerja secara mandiri dan sebagai bagian dari tim.",
Lowongan Kerja Supervisor Sales,Makanan,Karawang,Full-time,1,1,PT Multi Star Rukun Abadi (Sharon Bakery),"Kami sedang mencari individu yang memenuhi syarat dengan pendidikan minimal S1, memiliki Sim A atau B, serta kemampuan kepemimpinan, integritas, komunikasi yang baik, dan antusias terhadap tantangan. Kami mengutamakan kandidat yang jujur, rajin, disiplin, bertanggung jawab, berdedikasi, dan loyal terhadap perusahaan. Pengalaman di bidang FMCG atau sejenisnya sangat diinginkan, bersama dengan kemampuan komunikasi, pemecahan masalah, dan negosiasi yang baik. Kandidat yang telah bekerja sebagai Sales Supervisor selama minimal 2 tahun, menguasai area market MT/GT produk Fast Moving Consumer Goods, paham melakukan estimasi penjualan, mapping area, serta mampu mengolah dan menganalisa data menggunakan Microsoft Office dan Pivot Table akan menjadi nilai tambah yang besar bagi perusahaan kami.",
Power Apps Developer,Konsultan IT,Jakarta Utara,Full-time,1,1,PT. Kwadran Lima Mitra Kaya Solusi,"We are looking for candidates who hold a minimum Bachelor's Degree in Computer Science or Information Technology, with around 1 year of work experience. The ideal candidate should have experience in developing applications using Power Apps and Power Automate, as well as creating reports and dashboards using Power BI. Knowledge of other programming languages such as PHP, Golang, or similar is considered an advantage.",
.NET Developer,Konsultan IT,Jakarta Utara,Full-time,1,1,PT. Kwadran Lima Mitra Kaya Solusi,"We are seeking candidates under 30 years of age, with a minimum of a Diploma 3 in Computer Science or Information Technology, who possess a deep understanding of Object-Oriented Programming (OOP) concepts. Ideal candidates will have at least 1 year of experience in Web Development using the .Net Framework (ASP.NET MVC, C#), and a strong proficiency in HTML, CSS, and JavaScript. Experience with MS SQL Server (DDL, DML) is required, and an understanding of Kubernetes would be advantageous.",
Fullstack Developer,Konsultan IT,Jakarta Utara,Full-time,1,1,PT. Kwadran Lima Mitra Kaya Solusi,"We are looking for candidates with a minimum of a Bachelor's Degree in Computer Science or Information Technology and a background of at least 2 years in software development. The ideal candidate should demonstrate strong software development fundamentals, including expertise in data structures, algorithms, problem-solving, object-oriented design, and systems architecture. They should also possess a solid understanding of large and complex code bases, with skills in API design techniques for maintaining clean code. Proficiency in Node.js and familiarity with frameworks like Express.js, Vue.js, Angular, Next.js, Nest.js, etc., is necessary. Additionally, candidates should have knowledge of multithreading, asynchronous processing, memory management specific to mobile devices, and caching mechanisms. Experience with CI/CD concepts and DevOps tools such as Jenkins, Docker, etc., would be advantageous.",
ReactJS Developer,Konsultan IT,Jakarta Utara,Full-time,1,1,PT. Kwadran Lima Mitra Kaya Solusi,"We're seeking individuals under 30 years old with at least a Bachelor's Degree in Computer Science or Information Technology, alongside 2+ years of experience in full-stack web application development using React JS. The ideal candidate will showcase strong proficiency in HTML, CSS, and JavaScript, including DOM manipulation and the JavaScript object model, with hands-on experience in JavaScript ES5/ES6 and familiarity with the latest frontend development trends like Progressive Web Apps and Single Page Apps. Experience with frontend development tools such as Babel, Webpack, Gulp, Grunt, NPM, etc., is expected. Knowledge of .NET C# (Core, MVC, .NET API) is advantageous, and candidates should have an understanding of and experience with security standards in web development.",
SQL Developer,Konsultan IT,Jakarta Utara,Full-time,1,1,PT. Kwadran Lima Mitra Kaya Solusi,"Kami mencari kandidat dengan pendidikan minimal D3 jurusan Ilmu Komputer atau Teknologi Informasi, yang memiliki pengalaman minimal 1 tahun sebagai SQL Developer. Kandidat ideal harus menguasai MS SQL, SQL Cluster, SQL Replication/HA, tuning query, dan function/store procedure. Pengalaman menggunakan SSIS juga dianggap sebagai nilai tambah.",
Mobile Developer,Konsultan IT,Jakarta Utara,Full-time,1,1,PT. Kwadran Lima Mitra Kaya Solusi,"We're looking for candidates with at least a Bachelor's Degree in Computer Science or Information Technology, who understand Java and Kotlin programming languages and have a minimum of 1 year of experience as an Android Native Developer using Java or Kotlin. The ideal candidate should master MVVM architecture/pattern, be fluent with tools like Github and Jira, and have experience with Android Development Tools such as Android Studio, API, Android SDK, and GIT. Understanding the concept of Object-Oriented Programming (OOP) is crucial, and candidates should also possess analytical/problem-solving skills and be able to work well in a team. Knowing SQL Query/Database would be an added advantage.",
